hospital_id,hospital_name,region,location,hospital_level,specialities,number_of_beds,beds_occupied,beds_available,hospital_tier,latitude,longitude
1,Korle Bu Teaching Hospital,Greater Accra,"Guggisberg Avenue, Ablekuma South District, Accra",Teaching Hospital,"Medicine, Child Health, Obstetrics & Gynaecology, Surgery, Pathology, Radiology, Anaesthesia, Psychiatry, Accident & Emergency, Oncology, Nephrology",2000,1923,77,1,5.5364,-0.2254
2,University of Ghana Medical Centre,Greater Accra,"University of Ghana Campus, Legon, Accra",Academic Medical Centre (Quaternary),"Dentistry, Dermatology, Dietetics, Emergency Medicine, Endoscopy, Family Medicine, Gastroenterology, General Surgery, ICU, Cardiology, Obstetrics & Gynaecology, Radiology, Pharmacy, Physiotherapy, Paediatrics",650,607,43,1,5.6508,-0.187
3,37 Military Hospital,Greater Accra,"Liberation Road, Accra",Teaching Hospital,"General Surgery, Urology, Orthopaedics, Plastic Surgery, Neurosurgery, Medicine, Paediatrics, Obstetrics & Gynaecology, Dental, Cardiology, Emergency",650,618,32,1,5.585,-0.175
4,Tema General Hospital,Greater Accra,"Hospital Road, Community 9, Tema",District Hospital,"Internal Medicine, General Surgery, Paediatrics, Obstetrics & Gynaecology, Orthopaedics, Ophthalmology, ENT, Emergency Care, Physiotherapy, Radiology, Dentistry",350,321,29,2,5.6531,-0.0166
5,Ridge Hospital (Greater Accra Regional Hospital),Greater Accra,"Castle Road, North Ridge, Accra",Regional Hospital,"Surgery, Radiology, Internal Medicine, Pharmacy, Maternal & Paediatric Care, Emergency, Ophthalmology, Dermatology, Cardiology",420,405,15,1,5.5675,-0.1969
6,Ga East Municipal Hospital,Greater Accra,"Kwabenya, Accra",Primary/District Hospital,"General Medicine, Obstetrics & Gynaecology, Emergency Care, Ophthalmology, Neonatology, Surgery, Radiology, Dental, Dietetics, Psychiatry, ENT, Public Health",240,218,22,2,5.689,-0.216
7,Achimota Hospital,Greater Accra,"Aggrey Street, Achimota, Accra",District Hospital,"Gynaecology, Accident & Emergency, Medical Imaging, HIV/ART, Laboratory, Paediatrics",220,198,22,2,5.618,-0.228
8,Ga North Municipal Hospital,Greater Accra,"Hospital Road, Ofankor, Accra",Primary Hospital,"General OPD, Maternal & Child Health, Laboratory, Wellness Clinic",180,158,22,3,5.645,-0.265
9,North Legon Hospital,Greater Accra,"Kofi Annan Avenue, Haatso Road, Accra",Primary Hospital (Private),"Obstetrics & Gynaecology, Ophthalmology, Anaesthesia, Urology, Diagnostics, General Practice, Dental Care",170,149,21,3,5.67,-0.185
10,"Pentecost Hospital, Madina",Greater Accra,"Madina, Accra",Primary Hospital (Mission),"Paediatrics, Radiology, Emergency Care, Dental, Surgery, Anaesthesia, Ophthalmology, Endoscopy, Pharmacy, Laboratory, ENT, Family Medicine",200,182,18,3,5.68,-0.166
11,Police Hospital,Greater Accra,"Cantonments Road, Accra",Secondary Hospital,"Radiology, Laboratory, Anaesthesia, General Surgery, Obstetrics & Gynaecology, Urology, Orthopaedics, Ophthalmology, Emergency",320,298,22,2,5.572,-0.178
12,Ga West Municipal Hospital (Amasaman Hospital),Greater Accra,"Amasaman, Accra",Primary Hospital,"General OPD, Gynaecology, Eye Care, Laboratory",230,205,25,3,5.704,-0.305
13,Lapaz Community Hospital Annex A,Greater Accra,"Christian Village Junction, Achimota",Primary Hospital,General Medical Services,140,119,21,3,5.615,-0.245
14,Ghana Atomic Energy Commission (GAEC) Hospital,Greater Accra,"Haatso-Atomic Road, Accra",Primary Hospital,"General OPD, Reproductive Health, Surgery, Internal Medicine, Paediatrics, Eye Care, Pharmacy, Laboratory, Radiology",120,106,14,3,5.66,-0.2
15,LEKMA Hospital,Greater Accra,"Teshie, Accra",District/Municipal Hospital,"General Surgery, Paediatrics, Dentistry, Psychiatry, Haematology, Ophthalmology, Emergency, ENT, Radiology",250,228,22,2,5.585,-0.1
